name,price


While Turkey,37.99
Maker's Mark,35.99
Knob Greek,41.99
Jim Beam,21.49
Jack Daniel Single barrel,61.99
Gentleman Jack,31.99
Bulliet Bourbon,37.99
Buffalo Trace,28.99
Vila Nova Vinho Verde,12.99
Vila Nova Arinto,12.99
Vila Nova Alvarinho,13.99
The Cicada Blanc,12.99
Monte Schiavo Pallio di San Floriano Verdicchio Classico,14.99
Les Volets Chardonnay,13.99
K-Naia,12.99
GENETIE Saint-Véran 'La Rencontre',19.99
Genetie 'Illuminé' Bourgogne Chardonnay,20.99
Feudo Maccari Grillo,14.99
Contesa Trebbiano d'Abruzzo,15.99
Contesa Pecorino Abruzzo,15.99
Cave de l'Ormarine Duc de Morny Picpoul,11.99
"Caparrone Pecorino, IGT Colline Pescaresi",14.99
Adobe Organic Sauvignon Blanc,13.99
Adobe Organic Gewurztraminer,13.99
Yellow Tail Jammy Rose Roo Wine,8.99
Wild Horse Rose,13.99
Lieux Perdus Pinot Noir Rosé,12.99
Lemoss Frizzante Non Filtrato Rosé,15.99
L'Olibet Cinsault Rose,12.99
Gris Marin Gris de Gris Rose,12.99
Chateau L'Ermite d'Auzan Rose,14.99
Chateau d'Esclans Whispering Angel Rose,24.99
Campo Viejo Rosé Wine,9.99
Boutinot Les Cerisiers Cotes du Rhone Rose,12.99
Borsao Seleccion Rosado,15.99
Adobe Reserva Rose,13.99
Waterkloof Circle of Life Red,17.99
Valpolicella Ripasso Capitel della Crosara,15.99
Uva Non Grata,11.99
The Listening Station Malbec,12.99
Rippa Dorii Ribera del Duero Tempranillo Roble,13.99
Prisma Organic Monastrell,14.99
Pablo y Walter Malbec,12.99
Le Fou Pinot Noir,11.99
"Juan Gil Comoloco, DO Jumilla [Organic]",13.99
Domaine Boutinot Les Coteaux,12.99
Debajo Dry Farmed Carignan,10.99
Cicada Rouge,12.99
Alasia red,13.99
Solara Orange Wine,15.99
No es Orange Wine,15.99
Amfora Orange Wine,15.99
Talisker Skype,46.99
Talisker 10Y,41.99
Proper Twelve,41.99
Monkey Shoulder Original,41.99
Jonnie Walker Black Label,28.99
Jameson,25.99
Glenfiddich 12 Y,41.99
Glen Morangie,44.99
Fire Ball,23.99
Chivas Regal,28.99
ZUBROWKA VODKA,19.99
ZUBROWKA Grass VODKA,24.99
Skull Vodka,49.99
Krupnik,19.99
Kettle One,28.99
Grey Goose,36.99
Ciroc Summer Citrus,41.99
Ciroc Redberry,36.99
Ciroc Pineapple,36.99
Belvedere Vodka,36.99
Absolut Vodka,21.99
Tequila Rose,24.99
Sierra tropical chilli,25.99
Sierra tequila reposado,25.99
Sierra blanco,25.99
Patron Silver,56.99
Patron Reposado,61.99
Olmeca Reposado,27.99
Olmeca blanco,27.99
OJO tigre Reposado,51.99
OJO tigre Blanco,51.99
Monte Alban Mezcal,34.99
Jose cuervo silver,24.99
Jose cuervo gold,24.99
El Jimmdor reposado,29.99
El Jimmdor blanco,29.99
Cazabel Reposado,36.99
Cazabel Blanco,36.99
Casamigos Reposado,81.99
Casamigos Blanco,61.99
Altos Silver,41.99
Altmos reposado,41.99
Saint Ogun,44.99
Plantation XO 20th Anniversary,61.99
Plantation Pineapple,43.99
